merge_id,Device_host,Trip_host,Time_host,NativeFlag_host,LocalTimeMS_host,Latitude_host,Longitude_host,Elevation_host,Heading_host,GpsSpeed_host,GpsFixType,GpsSemiMajAxis,GpsSemiMinAxis,GpsOrientSemiMaj,BrakeStatus_host,Speed,YawRate_host,LongAccel_host,ThrottlePosPct,SteerAngle,TurnSignal,Headlamp,Wiper,TransState,StabilityControlStatus,ABSStatus,TracControlStatus,ClosestIntersectId,Distance,Device_rvbsm,Trip_rvbsm,Time_rvbsm,RvDevice,NativeFlag_rvbsm,LocalTimeMS_rvbsm,BsmPsId,BasicVehClass,RvRandomId,Latitude_rvbsm,Longitude_rvbsm,Elevation_rvbsm,Heading_rvbsm,GpsSpeed_rvbsm,BrakeStatus_rvbsm,YawRate_rvbsm,LongAccel_rvbsm,Device,Trip,Time,RvDevice_evtwarn,NativeFlag,LocalTimeMS,PsId,RvBasicVehClass,RvRandomId_evtwarn,AlertLevel,EventAppId,RvClass,RvLatitude,RvLongitude,RvHeading,RvElevation,RvSpeed,RvBrakeStatus,RvYawRate,RvLongitudinalAccel,RvTurnSignal,RvEventFlags,RvRange,RvRangeRate,RvLongOffset,RvLatOffset,HvLatitude,HvLongitude,HvHeading,HvElevation,HvSpeed,HvBrakeStatus,HvYawRate,HvLongitudinalAccel,HvTurnSignal,Device_spat,Trip_spat,Time_spat,NativeFlag_spat,LocalTimeMS_spat,IntersectId,LaneId,MovementPhase,SignalGroupId,MinEndTime
2004_12_20450,2004,12,20450,0,80282393,40.282267,-83.53110599999998,291.32001,202.45,25.152804999999997,2,0.58999997,0.44999999,156.0,0,24.944445,-3.6600001000000004,0.20739999,10,-10.78125,0,0,0,2,0,0,0,0,1747.3125,2004.0,12.0,20450.0,2494.0,0.0,80282393.0,1.0,0.0,1368.0,40.283614,-83.529785,291.89999,228.71249,25.5,0.0,-0.97000003,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_12_20500,2004,12,20500,0,80282893,40.282162,-83.531159,291.42001,200.84,25.023305999999998,2,0.58999997,0.44999999,156.0,0,24.933334,-3.6600001000000004,0.071599998,10,-11.59375,0,0,0,2,0,0,0,0,1759.7792,2004.0,12.0,20500.0,2494.0,0.0,80282893.0,1.0,0.0,1368.0,40.283537,-83.529898,292.0,227.95,25.400002,0.0,-1.46,0.0099999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_12_20550,2004,12,20550,0,80283393,40.282055,-83.53120699999998,291.62,198.64999,25.124542,2,0.58999997,0.44999999,157.0,0,24.883333,-3.6600001000000004,0.20739999,10,-11.6875,0,0,0,2,0,0,0,0,1772.2208,2004.0,12.0,20550.0,2494.0,0.0,80283393.0,1.0,0.0,1368.0,40.283458,-83.530009,292.10001,226.95,25.299999,0.0,-2.1900001000000002,0.0099999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_12_20600,2004,12,20600,0,80283893,40.281947,-83.53125099999998,291.82001,196.8,25.055166,2,0.58999997,0.44999999,158.0,0,24.797222,-4.150000100000001,0.20739999,10,-12.09375,0,0,0,2,0,0,0,0,1784.6195,2004.0,12.0,20600.0,2494.0,0.0,80283893.0,1.0,0.0,1368.0,40.283377,-83.530117,292.10001,225.5,25.32,0.0,-2.9200001,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_12_20650,2004,12,20650,0,80284393,40.281839,-83.53129,291.92001,194.77,25.028444,2,0.58999997,0.44999999,158.0,0,24.805557,-3.6600001000000004,0.20739999,10,-11.6875,0,0,0,2,0,0,0,0,1797.0222,2004.0,12.0,20650.0,2494.0,0.0,80284393.0,1.0,0.0,1368.0,40.283294,-83.53022199999998,292.20001,224.08749,25.32,0.0,-2.9200001,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_12_20700,2004,12,20700,0,80284893,40.281729,-83.531324,292.22,192.78,25.000181,2,0.58999997,0.44999999,159.0,0,24.836113,-3.6600001000000004,0.071599998,10,-11.5,0,0,0,2,0,0,0,0,1809.4403,2004.0,12.0,20700.0,2494.0,0.0,80284893.0,1.0,0.0,1368.0,40.283209,-83.53032399999998,292.20001,222.2625,25.299999,0.0,-3.1700001,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_12_20750,2004,12,20750,0,80285393,40.281619,-83.53135299999998,292.42001,191.23,24.895348000000002,2,0.58999997,0.46000001,157.0,0,24.722220999999998,-3.9000001,0.071599998,10,-11.5,0,0,0,2,0,0,0,0,1821.8014,2004.0,12.0,20750.0,2494.0,0.0,80285393.0,1.0,0.0,1368.0,40.283121,-83.530423,292.20001,220.55,25.379998999999998,0.0,-3.1700001,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_12_20800,2004,12,20800,0,80285893,40.281509,-83.531377,292.51999,189.05,24.765848000000002,2,0.61000001,0.46000001,155.0,0,24.563889,-2.6800001,-0.1806,10,-8.6875,0,0,0,2,0,0,0,0,1834.0834,2004.0,12.0,20800.0,2494.0,0.0,80285893.0,1.0,0.0,1368.0,40.283031,-83.530518,292.20001,218.925,25.32,0.0,-3.6600001000000004,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_12_20850,2004,12,20850,0,80286393,40.281399,-83.53139799999998,292.82001,187.50999,24.618361,2,0.63,0.47,152.0,0,24.419445,-3.4100001000000004,0.071599998,9,-9.6875,0,0,0,2,0,0,0,0,1846.2931,2004.0,12.0,20850.0,2494.0,0.0,80286393.0,1.0,0.0,1368.0,40.282939,-83.53060999999998,292.20001,216.95,25.34,0.0,-3.6600001000000004,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004_12_20900,2004,12,20900,0,80286893,40.281289,-83.531413,292.92001,185.82001,24.610653,2,0.63999999,0.47999999,151.0,0,24.358334,-3.6600001000000004,0.16859999,9,-10.5,0,0,0,2,0,0,0,0,1858.4723,2004.0,12.0,20900.0,2494.0,0.0,80286893.0,1.0,0.0,1368.0,40.282844,-83.530697,292.20001,215.3625,25.360001,0.0,-3.9000001,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
